OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
INTELSAT 902 (IS-902),2001-039A,2026-08-26T22:18:17.286336,1.00272115,.0004178,6.2903,70.8895,83.9193,104.8414,0,U,26900,999,9140,0,-.283E-5,0
PCSAT (NO-44),2001-043C,2026-08-26T21:53:27.884256,14.31978282,.0005643,67.0498,61.3408,270.5498,89.4957,0,U,26931,999,30057,.65414E-4,.92E-6,0
PROBA-1,2001-049B,2026-08-27T06:51:02.180160,15.07756673,.00529972,97.9624,250.3221,241.5987,117.9892,0,U,26958,999,35433,.9298977E-4,.1393E-4,0
TIMED,2001-055B,2026-08-27T01:23:38.986368,14.95424020,.00022809,74.0659,92.3079,254.2871,105.8062,0,U,26998,999,34141,.85651222E-4,.907E-5,0
MAROC-TUBSAT,2001-056D,2026-08-27T01:23:06.630432,13.70265029,.00193499,99.8128,57.2719,323.4622,149.9279,0,U,27004,999,23589,.25987798E-4,-.24E-6,0
COSMOS 2385,2001-058B,2026-08-27T06:27:23.036832,12.60566047,.00075095,82.5405,174.4011,73.8459,79.7084,0,U,27056,999,13473,-.19857558E-3,-.24E-6,0
COSMOS 2386,2001-058C,2026-08-27T05:24:15.216768,12.61617169,.00010163,82.5479,168.7035,66.9810,293.1388,0,U,27057,999,13546,.24681716E-4,.15E-6,0
USA 164 (MILSTAR-2 3),2002-001A,2026-08-27T01:06:07.524288,1.00273056,.00982926,11.2640,21.4559,10.0306,339.2677,0,U,27168,999,3366,0,.101E-5,0
INTELSAT 904 (IS-904),2002-007A,2026-08-27T00:44:01.948704,1.00270888,.00033508,7.0901,68.3062,72.7678,173.7181,0,U,27380,999,5247,0,-.225E-5,0
AQUA,2002-022A,2026-08-27T05:21:05.183424,14.62180585,.00018098,98.4355,209.9518,82.1417,335.3414,0,U,27424,999,29365,.15150607E-3,.713E-5,0
DIRECTV 5 (TEMPO 1),2002-023A,2026-08-27T05:53:24.212832,1.00272152,.00033265,5.0524,74.3943,87.9802,151.3692,0,U,27426,999,8883,0,-.58E-6,0
INTELSAT 905 (IS-905),2002-027A,2026-08-27T06:46:09.543360,1.00272788,.00030306,6.9253,68.9144,100.6928,130.2618,0,U,27438,999,5207,0,.94E-6,0
GALAXY 3C (G-3C),2002-030A,2026-08-27T07:06:18.122112,1.00271862,.00016938,3.9147,77.0655,41.1305,229.0632,0,U,27445,999,4720,0,-.153E-5,0
COSMOS 2390,2002-036A,2026-08-27T06:18:23.519808,12.44624609,.0026701,82.4853,300.5173,102.8622,257.5444,0,U,27464,999,9651,-.19674506E-3,-.18E-6,0
COSMOS 2391,2002-036B,2026-08-27T06:15:53.475840,12.44947340,.00275718,82.4843,297.0215,97.0101,263.4118,0,U,27465,999,9669,-.80250215E-4,-.1E-7,0
INTELSAT 906 (IS-906),2002-041A,2026-08-27T03:01:41.439648,1.00271913,.00025043,5.9771,72.0181,84.7442,288.1731,0,U,27513,999,8774,0,.13E-6,0
LATINSAT B,2002-058B,2026-08-27T01:04:38.302464,14.77099018,.00862562,64.5546,33.5207,256.1100,103.0397,0,U,27606,999,27256,.94015883E-4,.555E-5,0
SAUDISAT 1C (SO-50),2002-058C,2026-08-27T05:25:04.700640,14.83180348,.0072974,64.5509,269.1710,249.4402,109.8865,0,U,27607,999,27499,.12407119E-3,.906E-5,0
LATINSAT A,2002-058H,2026-08-27T02:39:54.465984,14.85576520,.00489358,64.5534,101.3638,237.1944,122.4445,0,U,27612,999,27816,.80312848E-4,.555E-5,0
NIMIQ 2,2002-062A,2026-08-27T03:09:38.772000,1.00272039,.00056075,9.6041,56.1213,98.8867,118.5951,0,U,27632,999,4489,0,-.68E-6,0
CORIOLIS,2003-001A,2026-08-27T00:20:14.911872,14.19961956,.00142635,98.7161,244.8271,13.8532,346.3033,0,U,27640,999,22427,.64085361E-4,.93E-6,0
SORCE,2003-004A,2026-08-26T23:53:16.298592,15.04028372,.00179965,39.9894,217.5842,204.2885,155.7062,0,U,27651,999,28256,.19367438E-3,.2582E-4,0
NAVSTAR 51 (USA 166),2003-005A,2026-08-26T22:04:35.776128,2.00556772,.0149549,54.8727,212.1599,53.4524,317.8587,0,U,27663,999,17273,0,.32E-6,0
USA 167,2003-008A,2026-08-26T12:41:41.294688,1.00273629,.00026984,11.0967,42.7553,293.5492,66.7412,0,U,27691,999,747,0,.8E-7,0
NAVSTAR 52 (USA 168),2003-010A,2026-08-26T17:09:04.805280,1.91454981,.00060893,54.7648,322.5779,250.3408,84.1793,0,U,27704,999,17127,0,-.69E-6,0
USA 169 (MILSTAR-2 4),2003-012A,2026-08-27T04:28:51.522816,1.00271615,.00972548,12.4547,29.2443,11.4287,154.1465,0,U,27711,999,3366,0,-.193E-5,0
