OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
PCSAT (NO-44),2001-043C,2026-09-08T18:19:23.207520,14.31982014,.00057327,67.0520,28.0986,271.8794,88.1651,0,U,26931,999,30241,.53066939E-4,.59E-6,0
SAUDISAT 1C (SO-50),2002-058C,2026-09-08T08:41:50.980704,14.83200645,.00723505,64.5508,231.6104,247.2210,112.1242,0,U,27607,999,27679,.10605552E-3,.751E-5,0
CUTE-1 (CO-55),2003-031E,2026-09-07T13:51:11.820960,14.24377896,.00086395,98.6771,258.1127,311.5550,48.4887,0,U,27844,999,20340,.9964474E-4,.187E-5,0
CUBESAT XI-IV (CO-57),2003-031J,2026-09-07T23:00:23.796000,14.23657335,.00088591,98.6803,258.1353,330.8066,29.2616,0,U,27848,999,20315,.92975536E-4,.168E-5,0
MOZHAETS 4 (RS22),2003-042A,2026-09-08T22:58:27.691680,14.73592009,.00115997,98.3485,78.7061,9.5752,150.5504,0,U,27939,999,22788,.11382255E-3,.688E-5,0
CUBESAT XI-V,2005-043F,2026-09-08T05:22:01.924896,14.72813976,.0012929,98.3092,48.6521,305.1416,54.8578,0,U,28895,999,11397,.1561E-3,.946E-5,0
CUTE-1.7+APD II (CO-65),2008-021C,2026-09-08T22:54:35.408736,15.10121740,.00105102,97.8365,235.1983,101.4130,258.8279,0,U,32785,999,99783,.28958018E-3,.4659E-4,0
SEEDS II (CO-66),2008-021J,2026-09-08T22:51:41.468256,15.35380659,.00036788,97.7561,254.0427,53.4755,306.6826,0,U,32791,999,12,.58794661E-3,.20153E-3,0
YUBILEINY (RS30),2008-025A,2026-09-08T22:57:34.721568,12.43182668,.00205971,82.5042,303.3420,127.3433,232.9527,0,U,32953,999,83010,.31475981E-3,.54E-6,0
KKS-1 (KISEKI),2009-002H,2026-09-08T21:49:39.182592,14.83302442,.00085339,98.1158,175.6740,28.0987,332.0685,0,U,33499,999,94860,.13020772E-3,.101E-4,0
SWISSCUBE,2009-051B,2026-09-08T16:51:18.044352,14.62615236,.00060766,98.3948,161.0158,323.3590,36.7194,0,U,35932,999,90136,.14761374E-3,.701E-5,0
BEESAT-1,2009-051C,2026-09-08T16:29:50.032896,14.61832446,.00048725,98.3875,160.4591,342.6228,17.4805,0,U,35933,999,90138,.12600951E-3,.58E-5,0
ITUPSAT1,2009-051E,2026-09-08T16:23:42.647136,14.60544290,.00072946,98.3954,159.5558,350.2717,9.8340,0,U,35935,999,90092,.12129504E-3,.54E-5,0
XIWANG-1 (HOPE-1),2009-072B,2026-09-08T22:03:07.414848,13.16442769,.00080826,100.4099,204.4377,45.9109,314.2668,0,U,36122,999,80402,.11111303E-2,.38E-5,0
O/OREOS (USA 219),2010-062C,2026-09-08T10:20:51.900000,14.94016932,.00166397,71.9676,251.7304,267.3976,92.5290,0,U,37224,999,12907,.14703119E-3,.1509E-4,0
JUGNU,2011-058B,2026-09-08T20:41:00.859200,14.13796692,.00184318,19.9596,160.0611,280.3471,140.9162,0,U,37839,999,77088,.6780896E-4,.397E-5,0
SRMSAT,2011-058D,2026-09-08T09:58:26.184576,14.11591137,.00119225,19.9716,275.7000,40.5211,347.6488,0,U,37841,999,76959,.5578511E-4,.368E-5,0
STRAND-1,2013-009E,2026-09-08T11:04:43.251744,14.37203949,.00083795,98.3967,69.6740,350.1392,9.9629,0,U,39090,999,70902,.79493079E-4,.194E-5,0
ZACUBE-1 (TSHEPISOSAT),2013-066B,2026-09-08T20:18:34.512192,15.01756855,.00404853,97.8108,214.6033,333.4016,26.5131,0,U,39417,999,69328,.39132594E-3,.5121E-4,0
GOMX-1,2013-066Q,2026-09-08T22:25:45.486336,14.69676827,.01281477,97.6447,87.1198,167.6956,192.7432,0,U,39430,999,68221,.24516837E-3,.1605E-4,0
CUBEBUG-2 (LO-74),2013-066AA,2026-09-08T20:21:41.988960,14.94232394,.00584153,97.8966,201.2384,109.2826,251.4724,0,U,39440,999,68948,.24583807E-3,.2664E-4,0
FUNCUBE-1 (AO-73),2013-066AE,2026-09-08T08:29:24.938304,15.10518210,.00337045,97.8361,224.6383,281.2911,78.4531,0,U,39444,999,69221,.42027939E-3,.6951E-4,0
UWE-3,2013-066AG,2026-09-08T19:40:02.986464,14.97508380,.00493701,97.8773,208.5186,42.1706,318.3297,0,U,39446,999,69009,.34026814E-3,.4004E-4,0
